spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
108d05b0-f62a-4d98-b819-af0b623104a8,e7517f22-e110-4f39-821f-c85cf327d42c,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,1.2,KW,,Heating Capacity
0663df2c-fcf4-48f0-a7dd-ca2ee84c788b,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,91.7,°F,Electric Reheat,LAT
6576f482-32ad-4673-b334-46acf1289c51,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,277-1,,Electric Reheat,Voltage / Phase
bab4b19c-4546-4b1a-9629-035a4c57c2f5,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,SCR,,Electric Reheat,EC Type
c259e5bb-4967-4a5d-89c2-742844fd1f36,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,15,,Electric Reheat,MOP
4993298e-d43e-44b7-bc7a-acd54934b673,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,5.9,,Electric Reheat,MCA
95fdf754-6f4c-4dd9-a972-f4ac2cf2664d,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,100,CFM,Airflow,Reheat
0412eff7-47eb-4da8-a8f2-8571c22a764b,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,1.25,IN WG,Air Pressure,Inlet Static Pressure
794eae01-6c67-4e25-8f87-bd11d4d349d0,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,0.25,IN WG,Air Pressure,Downstream
97c0b46a-3990-4c3f-9c0d-3172c4bb5b25,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,91.7,°F,Electric Reheat,LAT
a992505a-789d-4e52-a4a3-76c75636976b,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,15,,Electric Reheat,MOP
ea20fc78-9dde-49d5-abc6-9732b3f10937,e7517f22-e110-4f39-821f-c85cf327d42c,,,,,,,,5.9,,Electric Reheat,MCA
e7737601-2773-46fc-a170-ac4a9def9ef9,2d1e5232-6b33-4a6c-9eb7-1c6fa2970fe9,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
5aabd615-06c8-41a7-a274-a882b4cf062e,2d1e5232-6b33-4a6c-9eb7-1c6fa2970fe9,,,,,,,,SDV,,,Model
