package_id,spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,03a2be5c-17ad-4ae5-b931-afe12e254fef,085524d0-0dca-472f-b74a-e878865857c8,92929d54-bdb5-4112-a464-e3362820c7c6,Capacity,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Capacity","unit":"MBH","value":"70.1","category":"Modulating Hot Gas Reheat"}",70.1,MBH,Modulating Hot Gas Reheat,Capacity
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,150047dc-657d-4856-b2f3-c3723c202a49,085524d0-0dca-472f-b74a-e878865857c8,2da9ea27-8c84-4868-809b-002ec08f6315,Weight,,,fe46f69d-dd77-9a0f-5dc4-1ce604c97ea9,Pound,"{"kind":"flat","type":"Total Weight (Equipment + Curb)","unit":"LBS","value":"3,080","category":null}","3,080",LBS,,Total Weight (Equipment + Curb)
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,a9f15bfa-6419-425b-917a-1ce9404a1a8c,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Service Area","unit":null,"value":"MAIN WAREHOUSE OUTSIDE AIR","category":null}",MAIN WAREHOUSE OUTSIDE AIR,,,Service Area
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,ff7bc2fb-51c7-461c-a662-ddb61ec7281f,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Accessories/Options","unit":null,"value":"1","category":null}",1,,,Accessories/Options
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,d5e3384c-d926-4b54-bb80-1a7b1eed4849,30a51d41-3dce-4b74-a995-aa7ed0ef1099,,,,,,,"{"kind":"flat","type":"Model","unit":null,"value":"RN-006","category":null}",RN-006,,,Model
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,374b298c-4be4-48f7-9e6e-a912a4ee8a59,30a51d41-3dce-4b74-a995-aa7ed0ef1099,,,,,,,"{"kind":"flat","type":"ISCOP2 (STANDARD AHRI 920)","unit":null,"value":"3.3","category":"MIN AHRI HEATING η (EFF)"}",3.3,,MIN AHRI HEATING η (EFF),ISCOP2 (STANDARD AHRI 920)
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,81e760d9-7be2-4692-aede-e92d8b8cd5fd,30a51d41-3dce-4b74-a995-aa7ed0ef1099,,,,,,,"{"kind":"flat","type":"ISHRE2 (STANDARD AHRI 920)","unit":null,"value":"6.6","category":"MIN AHRI DEHUM η (EFF)"}",6.6,,MIN AHRI DEHUM η (EFF),ISHRE2 (STANDARD AHRI 920)
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,8b465b9b-24e0-4a5a-b02c-35fbd099c530,30a51d41-3dce-4b74-a995-aa7ed0ef1099,,,,,,,"{"kind":"flat","type":"Volt/Phase","unit":null,"value":"460/3","category":"Electrical Data"}",460/3,,Electrical Data,Volt/Phase
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,1b823078-5484-4065-8fe5-1150d7ba2c8d,30a51d41-3dce-4b74-a995-aa7ed0ef1099,,,,,,,"{"kind":"flat","type":"SCCR Rating","unit":null,"value":"10K","category":null}",10K,,,SCCR Rating
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,9d51bf6b-f039-4bef-b321-17ada51c5875,30a51d41-3dce-4b74-a995-aa7ed0ef1099,,,,,,,"{"kind":"flat","type":"Dirty Filter","unit":"IWC","value":"0.75","category":"Supply Fan Section"}",0.75,IWC,Supply Fan Section,Dirty Filter
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,ee2596fd-5666-4e46-8938-6d6c5aeb3400,30a51d41-3dce-4b74-a995-aa7ed0ef1099,,,,,70284fc6-f347-49e1-b657-567b4a3bb6a9,Horsepower,"{"kind":"flat","type":"HP","unit":"HP","value":"2","category":"Supply Fan Section"}",2,HP,Supply Fan Section,HP
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,d73a5fc1-2453-4e8b-8f6d-7e97b1858bff,30a51d41-3dce-4b74-a995-aa7ed0ef1099,,,,,,,"{"kind":"flat","type":"E.S.P.","unit":"IWC","value":"0.3","category":"Exhaust Fan Section"}",0.3,IWC,Exhaust Fan Section,E.S.P.
