package_id,spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,daec4820-8e9e-49b9-b9d1-c9012b02fb62,eea35eac-1513-423c-b7dc-ad96cd967fed,,,,,,,,85,CFM,Airflow,Reheat
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,d468235b-0cb4-4bf0-8f27-bb0fb7212385,eea35eac-1513-423c-b7dc-ad96cd967fed,,,,,,,,1.25,IN WG,Air Pressure,Inlet Static Pressure
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,79affb8b-f205-436c-b5ea-ec2a9d54b359,eea35eac-1513-423c-b7dc-ad96cd967fed,,,,,,,,0.25,IN WG,Air Pressure,Downstream
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,3caf1021-a3da-4a05-86d0-d2d7fde2f1c5,eea35eac-1513-423c-b7dc-ad96cd967fed,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.018,IN WG,Air Pressure,OP PD
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,84083d43-7930-427b-a58e-e197461e1ae4,eea35eac-1513-423c-b7dc-ad96cd967fed,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,0.7,KW,,Heating Capacity
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,661fdc6b-bcdb-4840-a6c2-f0978ac88df6,eea35eac-1513-423c-b7dc-ad96cd967fed,,,,,,,,81.5,°F,Electric Reheat,LAT
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,55759532-6772-46a1-81d9-1ceab5e5dd6e,eea35eac-1513-423c-b7dc-ad96cd967fed,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,,,,,,277-1,,Electric Reheat,Voltage / Phase
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,8dc66f4f-1122-45a5-bc13-06c8d2dcf7c9,eea35eac-1513-423c-b7dc-ad96cd967fed,eec607aa-5539-4423-90cf-d0a1e6b7910a,Reheat Coil Type,78ff0a14-a8af-49b0-ba76-0973b1289755,SCR Electric,,,,SCR,,Electric Reheat,EC Type
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,683e805e-7274-47dd-a057-debe5eaf7949,eea35eac-1513-423c-b7dc-ad96cd967fed,,,,,,,,15,,Electric Reheat,MOP
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,9ae23e0f-0347-4b6c-a709-f2c89f81c22f,eea35eac-1513-423c-b7dc-ad96cd967fed,,,,,,,,3.4,,Electric Reheat,MCA
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,947b2ff5-a6b2-45de-85f5-ef001d98312b,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,d324e117-f1d3-4b3e-9b2d-20ebf08274e9,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,SDV,,,Model
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,cd2496cf-b290-4b6a-9f6a-41381938b3ab,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,12,,,Unit Size
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,20ef7ed9-20cd-42f1-8641-08a50d2e7ebc,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,1170,CFM,Airflow,Cooling Max
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,c33049a6-262b-4f32-b4c9-76a9fc6448c9,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,585,CFM,Airflow,Cooling Min
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,29df7037-d5f9-44b7-b424-302812a09a46,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,585,CFM,Airflow,Reheat
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,bb0efa4b-73de-40ab-b1b7-42552bf69892,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,1.25,IN WG,Air Pressure,Inlet Static Pressure
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,cc1b29b2-c9fd-4cbc-a884-2c24ae60bf2f,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,0.25,IN WG,Air Pressure,Downstream
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,37031a40-95eb-49b5-993a-e0f84d435168,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.01,IN WG,Air Pressure,OP PD
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,4c6101aa-83b1-4875-9576-bf0a205f3b0d,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,7.2,KW,,Heating Capacity
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,3f1df3c5-722e-4851-99fa-f34719f2f07f,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,93.8,°F,Electric Reheat,LAT
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,0a566882-68a9-448a-8042-3126d5f238d9,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,dda99289-4130-4af0-b6c3-1e1b68254bc8,3Ø,,,,480-3,,Electric Reheat,Voltage / Phase
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,42f49e4c-957c-49fc-8e86-5c64964760d7,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,SCR,,Electric Reheat,EC Type
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,4b8ce6ef-8f3a-46e7-ab88-a37e9756cf9c,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,15,,Electric Reheat,MOP
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,b49c2b1c-1fab-4469-a28c-a04883385848,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,11.8,,Electric Reheat,MCA
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,558b24f6-afa7-4e4e-b57f-8f44874257a8,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,SCR,,Electric Reheat,EC Type
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,c1d177a4-97c6-4e28-998e-9224fb0417d3,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,15,,Electric Reheat,MOP
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,2b72442b-7e8f-4b16-a58a-63fcf371c6e0,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,11.8,,Electric Reheat,MCA
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,83aed1b6-a61c-471a-bded-6cda664ed4e6,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,45473b44-f6b5-419a-80b6-d43aad6290d8,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,SDV,,,Model
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,e959df34-4be2-45ac-84e2-ef7782ac59b1,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,12,,,Unit Size
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,109adf37-c4fd-4197-9fee-ad067514888d,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,1170,CFM,Airflow,Cooling Max
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,adf9cda9-6d27-43a6-b212-2eb98016ab50,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,585,CFM,Airflow,Cooling Min
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,1dbb378a-8f41-431c-905b-88db4cd4ba20,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,a0501598-023f-4102-b278-a238f3a875f1,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,,,,,,,,SDV,,,Model
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,6538d948-1799-43c3-be1e-0b5b606f956f,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,325c8c53-9f6e-4c60-b9b8-031a198a562a,Inlet Size,,,,,,12,,,Unit Size
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,07e0464a-d434-4271-8ab5-1319ea0566d2,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,1170,CFM,Airflow,Cooling Max
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,ed255816-7752-45d9-a213-67a0d9c74ed6,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,585,CFM,Airflow,Cooling Min
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,70ead804-c388-4169-bc1a-0e69de450b09,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,585,CFM,Airflow,Reheat
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,3354a279-43f9-428c-a976-f3c0653907cd,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,1.25,IN WG,Air Pressure,Inlet Static Pressure
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,5758e9f8-801b-4f1a-a410-928763ab53fc,ab7dfdef-09fd-4f98-8cb4-92ff6c8657fa,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.25,IN WG,Air Pressure,Downstream
