spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
f3862a5a-0e59-4b75-9117-0c99c08746e7,11608905-3a50-493d-b472-b88c4e960a90,,,,,,,"{"kind":"flat","type":"Model Number","unit":null,"value":"PAR","category":null}",PAR,,,Model Number
137d5c17-520f-477d-a957-f6c415121020,11608905-3a50-493d-b472-b88c4e960a90,,,,,,,"{"kind":"flat","type":"Description","unit":null,"value":"EXPOSED T-BAR CEILING FRAME STYLE WITH A 24\"X24\" FACE. PERFORATED.","category":null}",EXPOSED T-BAR CEILING FRAME STYLE WITH A 24"X24" FACE. PERFORATED.,,,Description
8b47ee82-c313-4bcc-a0cf-9ff0b7b5e7e2,11608905-3a50-493d-b472-b88c4e960a90,,,,,,,"{"kind":"flat","type":"Face Size","unit":null,"value":"24\"X24\"","category":null}",24"X24",,,Face Size
fa2e2e25-c2d0-4cdb-82d7-4db7e9425768,11608905-3a50-493d-b472-b88c4e960a90,efd848e4-a010-467e-b40a-a15dafef0aef,Blade Type,54301d15-59ce-4adf-8160-0b7fd0e90f7c,Perforated Face,,,"{"kind":"flat","type":"Face Style","unit":null,"value":"PERFORATED","category":null}",PERFORATED,,,Face Style
61510e28-e0bd-4cd3-9bbf-f54dc644203a,06f99ba6-5f83-4d8b-99d2-13e6a53f3f5f,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,57aeb21f-d927-4064-962b-67452f64f868,Return,,,"{"kind":"flat","type":"Service","unit":null,"value":"RETURN AIR","category":null}",RETURN AIR,,,Service
8136fea8-9bf1-4d1e-85b6-b7e649ed901e,06f99ba6-5f83-4d8b-99d2-13e6a53f3f5f,f06c4464-748f-4758-a57b-ef4242dd220c,Pump Type,,,,,"{"kind":"flat","type":"Type","unit":null,"value":"DIFFUSER","category":null}",DIFFUSER,,,Type
1f450400-f4cc-486d-a141-520c17d5241a,06f99ba6-5f83-4d8b-99d2-13e6a53f3f5f,523740af-9ca7-455c-ab51-4ad1918ab54a,Material,,,,,"{"kind":"flat","type":"Construction Material","unit":null,"value":"STEEL","category":null}",STEEL,,,Construction Material
d57e5b5c-a5d7-4ec7-b780-283557f0639d,06f99ba6-5f83-4d8b-99d2-13e6a53f3f5f,,,,,,,"{"kind":"flat","type":"Finish Color","unit":null,"value":"BY ARCH.","category":null}",BY ARCH.,,,Finish Color
9da16fe0-eb99-4dac-84ac-464f193f8464,06f99ba6-5f83-4d8b-99d2-13e6a53f3f5f,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,74df1e98-d237-4dac-a7c1-024d504d41ab,Titus,,,"{"kind":"flat","type":"Manufacturer","unit":null,"value":"TITUS","category":null}",TITUS,,,Manufacturer
ed9483e5-5f8f-4f08-ba6f-bd6a7163f693,06f99ba6-5f83-4d8b-99d2-13e6a53f3f5f,,,,,,,"{"kind":"flat","type":"Model Number","unit":null,"value":"PAR","category":null}",PAR,,,Model Number
1ab25e52-2b48-41e6-bc52-57b063bd2315,06f99ba6-5f83-4d8b-99d2-13e6a53f3f5f,,,,,,,"{"kind":"flat","type":"Description","unit":null,"value":"DUCT MOUNTED PERFORATED DIFFUSER WITH 24\"X48\" FACE.","category":null}",DUCT MOUNTED PERFORATED DIFFUSER WITH 24"X48" FACE.,,,Description
3b8c0319-7efb-40c1-bd77-9c4661d6866d,06f99ba6-5f83-4d8b-99d2-13e6a53f3f5f,,,,,,,"{"kind":"flat","type":"Face Size","unit":null,"value":"24\"X48\"","category":null}",24"X48",,,Face Size
d5620f27-8d7a-46be-ba78-c49286130e70,8e7ab5c9-0e43-4305-9951-3bd0518d93b1,,,,,,,"{"kind":"flat","type":"Type","unit":null,"value":"DIFFUSER","category":null}",DIFFUSER,,,Type
461aafce-635c-4dc6-a445-853d25becd4c,8e7ab5c9-0e43-4305-9951-3bd0518d93b1,,,,,,,"{"kind":"flat","type":"Damper","unit":null,"value":"AT TAP","category":null}",AT TAP,,,Damper
