project_id,package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),add97ece-9e7b-48bb-832d-beb92ce73e52,VAV E1-105,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),2503b814-5848-4d82-a324-9d056863651f,VAV W1-108,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),1762c759-6189-4fc4-9d4f-b859cc79d808,VAV W1-306,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),78d50206-fcc4-42e2-a4b3-e3bdd021bd64,VAV W2-206,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),0fcb6a6c-32d2-410a-9ffe-e96134048bed,VAV W1-201,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),eaaf9544-d6f1-4ccd-a999-3abb8a9341fc,VAV W1-110,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),280d162d-58c8-4221-9a5d-a059f0cc9149,VAV W2-304,,,0,,,,,Price Industries
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),6252d8e1-a6fe-41d4-8949-755adba8b98e,VAV E1-106,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),da90de31-35ca-481c-9895-891d6bdb29c4,VAV W2-306,,,0,,,,,Price Industries
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),6c8dd0c4-404d-42cb-a321-d26460c4acf9,VAV E1-104,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),2be1d2c7-4679-4dbc-ab77-51a2a1884293,VAV W1-304,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),5cf665f6-b852-4d53-85c7-caad9dbc413a,VAV W2-201,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),c45697f3-938b-475a-b59a-c1340f791d89,VAV W1-109,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),63d14ed1-7165-4671-97c0-eb6d1a2e0699,VAV W2-302,,,0,,,,,Price Industries
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),5964513a-e940-414e-b2e7-1e0e0ef96a56,VAV W2-202,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
